Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,,Video Diffusion Models,Jonathan Ho; Tim Salimans; Alexey Gritsenko; William Chan; Mohammad Norouzi,2022,Neural Information Processing Systems,,,,,2179,0.000,0.000,10.48550/arXiv.2204.03458,https://www.semanticscholar.org/paper/3b2a675bb617ae1a920e8e29d535cdf27826e999,https://arxiv.org/pdf/2204.03458,semantic_scholar,,Generating temporally coherent high fidelity video is an important milestone in generative modeling research. We make progress towards this milestone by proposing a diffusion model for video generation that shows very promising initial results. Our model is a natural extension of the standard image 
2,,CogVideoX: Text-to-Video Diffusion Models with An Expert Transformer,Zhuoyi Yang; Jiayan Teng; Wendi Zheng; Ming Ding; Shiyu Huang,2024,International Conference on Learning Representations,,,,,1244,0.000,0.000,10.48550/arXiv.2408.06072,https://www.semanticscholar.org/paper/7b248d78573ccf0dca6aa2cec2743d3eccaa9d1a,,semantic_scholar,,"We present CogVideoX, a large-scale text-to-video generation model based on diffusion transformer, which can generate 10-second continuous videos aligned with text prompt, with a frame rate of 16 fps and resolution of 768 * 1360 pixels. Previous video generation models often had limited movement and"
3,,Tune-A-Video: One-Shot Tuning of Image Diffusion Models for Text-to-Video Generation,Jay Zhangjie Wu; Yixiao Ge; Xintao Wang; Weixian Lei; Yuchao Gu,2022,IEEE International Conference on Computer Vision,,,,,989,0.000,0.000,10.1109/ICCV51070.2023.00701,https://www.semanticscholar.org/paper/1367dcff4ccb927a5e95c452041288b3f0dd0eff,,semantic_scholar,,"To replicate the success of text-to-image (T2I) generation, recent works employ large-scale video datasets to train a text-to-video (T2V) generator. Despite their promising results, such paradigm is computationally expensive. In this work, we propose a new T2V generation setting—One-Shot Video Tunin"
4,,SV3D: Novel Multi-view Synthesis and 3D Generation from a Single Image using Latent Video Diffusion,Vikram S. Voleti; Chun-Han Yao; Mark Boss; Adam Letts; David Pankratz,2024,European Conference on Computer Vision,,,,,308,0.000,0.000,10.48550/arXiv.2403.12008,https://www.semanticscholar.org/paper/03e2cfa44b64489fb98f09dfbd940043fbef90ad,,semantic_scholar,,"We present Stable Video 3D (SV3D) -- a latent video diffusion model for high-resolution, image-to-multi-view generation of orbital videos around a 3D object. Recent work on 3D generation propose techniques to adapt 2D generative models for novel view synthesis (NVS) and 3D optimization. However, the"
5,,Show-1: Marrying Pixel and Latent Diffusion Models for Text-to-Video Generation,David Junhao Zhang; Jay Zhangjie Wu; Jia-Wei Liu; Rui Zhao; L. Ran,2023,International Journal of Computer Vision,,,,,286,0.000,0.000,10.1007/s11263-024-02271-9,https://www.semanticscholar.org/paper/a5b7fc1bff0910ff31975ec0a15ed30c41f0a968,,semantic_scholar,,"Significant advancements have been achieved in the realm of large-scale pre-trained text-to-video Diffusion Models (VDMs). However, previous methods either rely solely on pixel-based VDMs, which come with high computational costs, or on latent-based VDMs, which often struggle with precise text-video"
6,,Rerender A Video: Zero-Shot Text-Guided Video-to-Video Translation,Shuai Yang; Yifan Zhou; Ziwei Liu; Chen Change Loy,2023,ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia,,,,,285,0.000,0.000,10.1145/3610548.3618160,https://www.semanticscholar.org/paper/1e09b83fe064826a9a1ac61a7bdc00f26be41aee,https://arxiv.org/pdf/2306.07954,semantic_scholar,,"Large text-to-image diffusion models have exhibited impressive proficiency in generating high-quality images. However, when applying these models to video domain, ensuring temporal consistency across video frames remains a formidable challenge. This paper proposes a novel zero-shot text-guided video"
7,,Fast High-Resolution Image Synthesis with Latent Adversarial Diffusion Distillation,Axel Sauer; Frederic Boesel; Tim Dockhorn; A. Blattmann; Patrick Esser,2024,ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia,,,,,213,0.000,0.000,10.1145/3680528.3687625,https://www.semanticscholar.org/paper/f6ab25605dc36db5e4b4f2f167d905944d5203c4,https://dl.acm.org/doi/pdf/10.1145/3680528.3687625,semantic_scholar,,"Diffusion models are the main driver of progress in image and video synthesis, but suffer from slow inference speed. Distillation methods, like the recently introduced adversarial diffusion distillation (ADD) aim to shift the model from many-shot to single-step inference, albeit at the cost of expen"
8,,FreeNoise: Tuning-Free Longer Video Diffusion via Noise Rescheduling,Haonan Qiu; Menghan Xia; Yong Zhang; Yin-Yin He; Xintao Wang,2023,International Conference on Learning Representations,,,,,148,0.000,0.000,10.48550/arXiv.2310.15169,https://www.semanticscholar.org/paper/d831988859f0c077b38094446d8585a8340af223,,semantic_scholar,,"With the availability of large-scale video datasets and the advances of diffusion models, text-driven video generation has achieved substantial progress. However, existing video generation models are typically trained on a limited number of frames, resulting in the inability to generate high-fidelit"
9,,Direct-a-Video: Customized Video Generation with User-Directed Camera Movement and Object Motion,Shiyuan Yang; Liang Hou; Haibin Huang; Chongyang Ma; Pengfei Wan,2024,International Conference on Computer Graphics and Interactive Techniques,,,,,134,0.000,0.000,10.1145/3641519.3657481,https://www.semanticscholar.org/paper/266cd6516e87580d3a4f9278c794a8896bba5cc1,https://arxiv.org/pdf/2402.03162,semantic_scholar,,"Recent text-to-video diffusion models have achieved impressive progress. In practice, users often desire the ability to control object motion and camera movement independently for customized video creation. However, current methods lack the focus on separately controlling object motion and camera mo"
10,,Self Forcing: Bridging the Train-Test Gap in Autoregressive Video Diffusion,Xun Huang; Zhengqi Li; Guande He; Mingyuan Zhou; Eli Shechtman,2025,arXiv.org,,,,,95,0.000,0.000,10.48550/arXiv.2506.08009,https://www.semanticscholar.org/paper/a8e2e3ff1770fd83228659e9e4d16114ddb9404b,,semantic_scholar,,"We introduce Self Forcing, a novel training paradigm for autoregressive video diffusion models. It addresses the longstanding issue of exposure bias, where models trained on ground-truth context must generate sequences conditioned on their own imperfect outputs during inference. Unlike prior methods"
